date,cum_diagnoses,new_diagnoses,cum_severe,new_severe,cum_deaths,new_deaths,new_tests,new_tests_fb,CELR_tests
2022-06-08,,,,,,,3817997.346215626,3817997.346215626,777701.0
2022-06-09,12282860.142857146,103921.28571428572,698417.2857142854,4505.142857142857,143781.71428571432,312.14285714285717,3523324.130272866,3523324.130272866,717678.0
2022-06-10,,,,,,,3249667.791817918,3249667.791817918,661936.0
2022-06-11,,,,,,,3119933.616510063,3119933.616510063,635510.0
2022-06-12,,,,,,,3104979.7718878076,3104979.7718878076,632464.0
2022-06-13,,,,,,,3055856.9323309166,3055856.9323309166,622458.0
2022-06-14,,,,,,,2938356.8281979337,2938356.8281979337,598524.0
2022-06-15,,,,,,,2895336.296213421,2895336.296213421,589761.0
2022-06-16,12380486.571428576,97626.42857142857,703005.2857142854,4588.0,144074.28571428574,292.57142857142856,2988417.351380186,2988417.351380186,608721.0
2022-06-17,,,,,,,3055287.4490820062,3055287.4490820062,622342.0
2022-06-18,,,,,,,3068631.0307245837,3068631.0307245837,625060.0
2022-06-19,,,,,,,3036690.8754020636,3036690.8754020636,618554.0
2022-06-20,,,,,,,2910349.052895909,2910349.052895909,592819.0
2022-06-21,,,,,,,2741443.2668720405,2741443.2668720405,558414.0
2022-06-22,,,,,,,2709650.391700101,2709650.391700101,551938.0
2022-06-23,12490822.714285718,110336.14285714286,708209.8571428569,5204.571428571428,144447.71428571432,373.42857142857144,2773005.403141404,2773005.403141404,564843.0
2022-06-24,,,,,,,2814562.9522968186,2814562.9522968186,573308.0
2022-06-25,,,,,,,2828215.8222556147,2828215.8222556147,576089.0
2022-06-26,,,,,,,2847376.969846115,2847376.969846115,579992.0
2022-06-27,,,,,,,2882493.467082817,2882493.467082817,587145.0
2022-06-28,,,,,,,2850302.9355043108,2850302.9355043108,580588.0
2022-06-29,,,,,,,2735316.412607899,2735316.412607899,557166.0
2022-06-30,12601531.142857147,110708.42857142857,713707.4285714284,5497.571428571428,144786.4285714286,338.7142857142857,2633398.5484063146,2633398.5484063146,536406.0
2022-07-01,,,,,,,2574579.7656028857,2574579.7656028857,524425.0
2022-07-02,,,,,,,2558246.396903528,2558246.396903528,521098.0
2022-07-03,,,,,,,2538667.9555530497,2538667.9555530497,517110.0
2022-07-04,,,,,,,2391402.5329877837,2391402.5329877837,487113.0
2022-07-05,,,,,,,2434378.880927122,2434378.880927122,495867.0
2022-07-06,,,,,,,2606028.9870901373,2606028.9870901373,530831.0
2022-07-07,12725194.857142862,123663.71428571428,719999.8571428569,6292.428571428572,145172.57142857148,386.1428571428572,2682737.398850723,2682737.398850723,546456.0
2022-07-08,,,,,,,2739101.5124778133,2739101.5124778133,557937.0
2022-07-09,,,,,,,2773579.795728667,2773579.795728667,564960.0
2022-07-10,,,,,,,2802436.8865657053,2802436.8865657053,570838.0
2022-07-11,,,,,,,3009090.575183311,3009090.575183311,612932.0
2022-07-12,,,,,,,3108887.605216539,3108887.605216539,633260.0
2022-07-13,,,,,,,3062499.2671220894,3062499.2671220894,623811.0
2022-07-14,12853902.714285718,128707.85714285714,726603.9999999998,6604.142857142857,145577.1428571429,404.57142857142856,3020902.443259853,3020902.443259853,615338.0
2022-07-15,,,,,,,3015423.621658265,3015423.621658265,614222.0
2022-07-16,,,,,,,2993896.1729817744,2993896.1729817744,609837.0
2022-07-17,,,,,,,2985555.207120575,2985555.207120575,608138.0
2022-07-18,,,,,,,2941066.782968612,2941066.782968612,599076.0
2022-07-19,,,,,,,2896362.347929131,2896362.347929131,589970.0
2022-07-20,,,,,,,2920771.578218643,2920771.578218643,594942.0
2022-07-21,12986252.000000004,132349.2857142857,733285.1428571426,6681.142857142857,146029.57142857148,452.42857142857144,2941263.156502719,2941263.156502719,599116.0
2022-07-22,,,,,,,2928160.132439423,2928160.132439423,596447.0
2022-07-23,,,,,,,2942029.013285737,2942029.013285737,599272.0
2022-07-24,,,,,,,2939741.261613389,2939741.261613389,598806.0
2022-07-25,,,,,,,2981622.8271000804,2981622.8271000804,607337.0
2022-07-26,,,,,,,2975392.876730533,2975392.876730533,606068.0
2022-07-27,,,,,,,2850037.8312332663,2850037.8312332663,580534.0
2022-07-28,13105844.714285718,119592.71428571428,739807.2857142854,6522.142857142857,146536.28571428577,506.7142857142857,2809300.1415827484,2809300.1415827484,572236.0
2022-07-29,,,,,,,2794621.2199082426,2794621.2199082426,569246.0
2022-07-30,,,,,,,2768528.086563762,2768528.086563762,563931.0
2022-07-31,,,,,,,2749303.117574677,2749303.117574677,560015.0
2022-08-01,,,,,,,2742096.2088729464,2742096.2088729464,558547.0
2022-08-02,,,,,,,2771164.40125915,2771164.40125915,564468.0
2022-08-03,,,,,,,2831622.903072373,2831622.903072373,576783.0
2022-08-04,13216344.428571433,110499.71428571428,746180.8571428569,6373.571428571428,147055.71428571435,519.4285714285714,2819997.5898532327,2819997.5898532327,574415.0
2022-08-05,,,,,,,2787919.973056838,2787919.973056838,567881.0
2022-08-06,,,,,,,2765626.6675973297,2765626.6675973297,563340.0
2022-08-07,,,,,,,2759141.431633442,2759141.431633442,562019.0
2022-08-08,,,,,,,2718825.9450812554,2718825.9450812554,553807.0
2022-08-09,,,,,,,2694244.887949399,2694244.887949399,548800.0
2022-08-10,,,,,,,2684926.9637560174,2684926.9637560174,546902.0
